username,most_active_day,most_active_hour,freq_of_most_hashtag,location,verified,followers_count,friends_count,favourites_count,statuses_count,month_created,year_created,is_buzzer
Salsabila_safn,3,4,496,0,0,9,24,11,6,3,2018,0
kintan89,4,9,453,0,0,21,104,3,48,2,2019,0
GFinarta,2,3,2,0,0,2,31,1,44,2,2019,0
AyoBogor,2,4,232,1,0,1677,102,946,74238,8,2015,0
panwaslihabar,1,3,20,1,0,269,9,0,57,9,2009,0
BandungINFO_KU,1,12,65,1,0,4061,33,36,226844,12,2012,0
malikwibowo10,2,4,96,0,0,32,112,1268,2337,8,2017,0
elyaghea,7,15,60,1,0,282,15,186,3552,2,2019,0
ziswakartika,7,9,2,1,0,13,24,181,29,9,2018,0
Polresta_SMD,3,1,109,1,0,1145,117,344,2831,3,2013,0
PolsekSidoharjo,2,4,2,0,0,1,0,4,185,6,2018,0
olgaArsenalFC,1,16,10,1,0,1269,622,720,45038,10,2010,0
GagakNew,1,3,4,0,0,3426,578,745,72907,1,2018,0
Huda_Refo,1,13,7,1,0,10,162,447,542,5,2018,0
seputarTA,1,13,10,1,0,12181,2660,1088,94179,1,2012,0
cari2info,3,23,28,0,0,1585,34,25,149461,10,2012,0
Ulul_Ilmie,1,14,1,1,0,76,209,4,44,10,2013,0
erick_meztymezt,4,1,4,1,0,130,266,321,4516,8,2012,0
DeniRangga1,3,7,6,1,0,26228,26756,17961,15142,12,2013,0
CloverMagi,4,7,27,0,0,133,273,29278,8113,3,2019,0
purnama_gian,4,16,1,0,0,36,143,8,23,1,2014,0
DaweReal,7,6,46,0,0,2,5,83,92,3,2019,0
Jodha_Akbar_S,5,8,447,1,0,7,88,3,54,1,2019,0
putra_pamex,4,8,62,1,0,254,582,300,6743,8,2011,0
tour_a3,1,13,10,0,0,3,86,21,54,2,2019,0
FarisMuddin,6,3,9,1,0,190,262,709,519,3,2011,0
Citraputrirmd,1,15,11,1,0,292,315,94,2901,2,2012,0
isyarancic,6,15,9,0,0,181,127,11,4738,2,2010,0
inijonynih,4,15,29,1,0,304,418,3124,3772,5,2010,0
juneisup,4,15,2,1,0,493,356,1617,32518,5,2010,0
kolejlaif,6,13,4,1,0,736,421,1535,25831,3,2011,0
nuha_lin,7,14,4,1,0,63,184,2289,1751,3,2011,0
HandayaniSistri,4,14,175,1,0,179,77,32,2798,7,2016,0
aniek_supoyo,3,14,167,0,0,265,102,2,3149,4,2016,0
LamselBawaslu,6,2,442,1,0,43,28,40,136,10,2018,0
Misbah22_5,1,14,23,1,0,22,87,6571,5353,5,2018,0
ANHAthougts,2,14,485,0,0,5,12,8,16,4,2019,0
Humas_PolresBIK,2,3,8,1,0,31,343,20,94,11,2017,0
PolresKepahiang,5,6,49,1,0,80,131,61,1524,10,2013,0
rifqiyep,1,14,5,1,0,185,234,706,19333,2,2015,0
bola_media,7,22,70,1,0,1151,75,125,123931,10,2012,0
AriefBachti,5,13,243,1,0,7,51,564,258,7,2018,0
DianaYuanita110,3,14,177,0,0,335,125,15,2974,4,2016,0
dindanrnwt,4,14,2,0,0,618,430,241,3401,2,2012,0
ihhindra,1,7,45,1,0,637,1633,7,643,4,2012,0
dunia_hagia,4,6,2,1,0,15,50,10,70,3,2019,0
rahardjo_hary,6,4,8,1,0,181,771,1189,280,11,2018,0
nhhaqi,5,5,3,0,0,5,38,28,53,4,2019,0
Mayasafitri05,3,14,63,1,0,52,71,1337,5339,8,2017,0
